documento,numero,servidor,data,,
R E G I S T R O O R C A M E N T A R I O,2025NS023565,SRV-03,26/09/2023,,
O R D E M B A N C A R I A,2025NS023564,SRV-03,26/09/2023,,
O R D E M B A N C A R I A,2025NS023563,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023562,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023561,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023560,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023559,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023558,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023557,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023556,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023555,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023554,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023553,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023552,SRV-03,26/09/2023,,
O R D E M B A N C A R I A,2025NS023551,SRV-03,26/09/2023,,
O R D E M B A N C A R I A,2025NS023550,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023549,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023548,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023547,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023546,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023545,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023544,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023543,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023542,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023541,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023540,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023539,SRV-03,26/09/2023,,
O R D E M B A N C A R I A,2025NS023538,SRV-03,26/09/2023,,
O R D E M B A N C A R I A,2025NS023537,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023536,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023535,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023534,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023533,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023532,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023531,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023530,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023529,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023528,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023527,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023526,SRV-03,26/09/2023,,
O R D E M B A N C A R I A,2025NS023525,SRV-03,26/09/2023,,
O R D E M B A N C A R I A,2025NS023524,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023523,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023522,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023521,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023520,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023519,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023518,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023517,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023516,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023515,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023514,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023513,SRV-03,26/09/2023,,
O R D E M B A N C A R I A,2025NS023512,SRV-03,26/09/2023,,
O R D E M B A N C A R I A,2025NS023511,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023510,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023509,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023508,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023507,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023506,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023505,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023504,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023503,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023502,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023501,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023500,SRV-03,26/09/2023,,
O R D E M B A N C A R I A,2025NS023499,SRV-03,26/09/2023,,
O R D E M B A N C A R I A,2025NS023498,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023497,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023496,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023495,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023494,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023493,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023492,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023491,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023490,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023489,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023488,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023487,SRV-03,26/09/2023,,
O R D E M B A N C A R I A,2025NS023486,SRV-03,26/09/2023,,
O R D E M B A N C A R I A,2025NS023485,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023484,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023483,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023482,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023481,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023480,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023479,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023478,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023477,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023476,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023475,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023474,SRV-03,26/09/2023,,
O R D E M B A N C A R I A,2025NS023473,SRV-03,26/09/2023,,
O R D E M B A N C A R I A,2025NS023472,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023471,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023470,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023469,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023468,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023467,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023466,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023465,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023464,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023463,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023462,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023461,SRV-03,26/09/2023,,
O R D E M B A N C A R I A,2025NS023460,SRV-03,26/09/2023,,
O R D E M B A N C A R I A,2025NS023459,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023458,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023457,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023456,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023455,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023454,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023453,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023452,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023451,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023450,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023449,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023448,SRV-03,26/09/2023,,
O R D E M B A N C A R I A,2025NS023447,SRV-03,26/09/2023,,
O R D E M B A N C A R I A,2025NS023446,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023445,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023444,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023443,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023442,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023441,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023440,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023439,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023438,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023437,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023436,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023435,SRV-03,26/09/2023,,
O R D E M B A N C A R I A,2025NS023434,SRV-03,26/09/2023,,
O R D E M B A N C A R I A,2025NS023433,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023432,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023431,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023430,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023429,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023428,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023427,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023426,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023425,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023424,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023423,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023422,SRV-03,26/09/2023,,
O R D E M B A N C A R I A,2025NS023421,SRV-03,26/09/2023,,
O R D E M B A N C A R I A,2025NS023420,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023419,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023418,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023417,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023416,SRV-03,26/09/2023,,
